countryorigin_iso3,tq,row_count,measure_sum
FLK,2015q1,1,3056506
FRA,2015q1,3517,15418483255
FRA,2015q2,4861,6967073736
FRA,2015q3,6692,11988467037
FRA,2015q4,6530,10263891533
FRO,2015q1,1,1755256
FRO,2015q2,1,1964737
FRO,2015q3,2,3490717
FSM,2015q4,2,102154
GAB,2015q1,1,1580123
GAB,2015q3,4,7829157
GAB,2015q4,2,881001
GBR,2015q1,3872,3613514201
GBR,2015q2,5130,5712720951
GBR,2015q3,8046,7195072027
GBR,2015q4,8344,6182311622
GEO,2015q1,8,19303378
GEO,2015q2,19,17572626
GEO,2015q3,17,9676508
GEO,2015q4,17,11367989
GHA,2015q2,5,2163970
GHA,2015q3,5,480852
GHA,2015q4,4,17963031
GMB,2015q3,1,326710
GNQ,2015q1,1,103418
GRC,2015q1,49,78550603
GRC,2015q2,58,64854731
GRC,2015q3,61,120394065
GRC,2015q4,67,138973260
GRL,2015q2,2,2867563
GTM,2015q1,5,324567
GTM,2015q2,8,8740884
GTM,2015q3,13,23253026
GTM,2015q4,9,15890501
GUF,2015q2,1,29039
GUM,2015q1,72,4125960
GUM,2015q2,59,16918190
GUM,2015q3,118,25851070
GUM,2015q4,107,19794221
GUY,2015q1,1,14647583
GUY,2015q3,3,9131188
HKG,2015q1,12132,10106070971
HKG,2015q2,19371,14965857843
HKG,2015q3,35119,30660673952
HKG,2015q4,35212,30333437593
HND,2015q1,11,2806306
HND,2015q2,5,3973799
HND,2015q3,26,38806070
HND,2015q4,25,2711067
HRV,2015q1,17,60260365
HRV,2015q2,12,170970763
HRV,2015q3,55,30012042
HRV,2015q4,57,125571395
HTI,2015q1,4,474397
HTI,2015q3,1,46115
HTI,2015q4,2,144553
HUN,2015q1,66,123151777
HUN,2015q2,140,141405756
HUN,2015q3,324,101539245
HUN,2015q4,403,222910986
IDN,2015q1,8008,35717431606
IDN,2015q2,8169,40265286655
IDN,2015q3,9592,45549200628
IDN,2015q4,10050,41401926558
IND,2015q1,6833,15245769580
IND,2015q2,7151,12261233533
IND,2015q3,8641,18582860379
IND,2015q4,8178,18166978825
IOT,2015q2,1,326167
IRL,2015q1,480,1656032918
IRL,2015q2,530,1424859848
IRL,2015q3,1123,1355050355
IRL,2015q4,1176,1199223324
IRN,2015q1,31,464600937
IRN,2015q2,27,1223097790
IRN,2015q3,13,23502745
IRN,2015q4,18,10658017
IRQ,2015q2,1,180068
IRQ,2015q3,1,333495
ISL,2015q1,7,43502406
ISL,2015q2,2,9657721
ISL,2015q3,2,1778679
ISL,2015q4,15,6476669
ISR,2015q1,350,416630605
ISR,2015q2,657,1047623938
ISR,2015q3,1257,1319455171
ISR,2015q4,1139,1626024838
ITA,2015q1,4006,5274252202
ITA,2015q2,5111,5554118168
ITA,2015q3,6403,5444578014
ITA,2015q4,6194,8108693172
JAM,2015q1,4,5934606
JAM,2015q2,23,3304446
JAM,2015q3,6,2799041
JAM,2015q4,7,1906311
JOR,2015q1,12,61886142
JOR,2015q2,8,98852996
JOR,2015q3,10,102629455
JOR,2015q4,8,35133984
JPN,2015q1,34322,38812771914
JPN,2015q2,57505,44799078950
JPN,2015q3,128445,105858962864
JPN,2015q4,132103,115091693695
KAZ,2015q4,1,4141364
KEN,2015q1,3,253793655
KEN,2015q2,3,93250630
KEN,2015q3,23,58958495
KEN,2015q4,32,40074338
KGZ,2015q1,3,12627560
KGZ,2015q2,2,10325832
KGZ,2015q3,2,3914414
KHM,2015q1,394,118713620
KHM,2015q2,274,188146363
KHM,2015q3,483,239864555
KHM,2015q4,419,357859048
KIR,2015q3,3,23251743
KNA,2015q3,1,83070
KOR,2015q1,13800,43360543137
KOR,2015q2,20816,54880585970
KOR,2015q3,38302,86463291845
KOR,2015q4,39145,82102853072
KWT,2015q1,12,49399483
KWT,2015q2,10,4148084201
KWT,2015q3,13,20392828529
KWT,2015q4,33,26302240094
LAO,2015q1,2,518402
LAO,2015q2,4,4161497
LAO,2015q3,3,12530746
LAO,2015q4,1,4190
LBN,2015q1,20,8327844
LBN,2015q2,25,281180
LBN,2015q3,10,6755391
LBN,2015q4,13,4121163
LBR,2015q2,1,659593
LBR,2015q3,1,672929
LBY,2015q1,1,495947
LBY,2015q2,1,52124
LIE,2015q2,43,22768474
LIE,2015q3,174,47212563
LIE,2015q4,130,30485141
LKA,2015q1,180,608277582
LKA,2015q2,133,257089548
LKA,2015q3,185,103119352
LKA,2015q4,151,97437422
LSO,2015q1,2,1742543
LSO,2015q3,1,13160
LSO,2015q4,1,688955
LTU,2015q1,11,34612744
LTU,2015q2,23,72662757
LTU,2015q3,22,32439634
LTU,2015q4,26,50217150
LUX,2015q1,17,34344944
LUX,2015q2,12,6030055
LUX,2015q3,40,23383041
LUX,2015q4,58,25148551
LVA,2015q1,3,549004
LVA,2015q2,10,12431222
LVA,2015q3,5,4355250
LVA,2015q4,11,17072987
MAC,2015q1,126,325514785
MAC,2015q2,252,159424700
MAC,2015q3,177,205444238
MAC,2015q4,100,24773805
MANY,2015q1,6591,2628074491
MANY,2015q2,8060,3095080456
MANY,2015q3,9767,4466527678
MANY,2015q4,11734,5436554843
MAR,2015q1,10,15385069
MAR,2015q2,18,46486611
MAR,2015q3,97,45116201
MAR,2015q4,61,75724769
MCO,2015q4,1,61383
MDA,2015q1,10,35809962
MDA,2015q2,2,8242738
MDA,2015q3,2,3867852
MDG,2015q1,1,94603
MDG,2015q2,1,498476
MDG,2015q3,1,371375
MDG,2015q4,2,589930
MDV,2015q1,6,1664559
MDV,2015q2,2,929194
MDV,2015q3,4,1450424
MDV,2015q4,5,1053194
MEX,2015q1,325,627624321
MEX,2015q2,596,864127445
MEX,2015q3,1108,1172302290
MEX,2015q4,1176,1738528309
MHL,2015q1,8,67471273
MHL,2015q2,7,117417414
MHL,2015q3,6,10260404
MHL,2015q4,9,24856891
MKD,2015q3,1,86640
MKD,2015q4,2,194890
MLI,2015q3,2,481375
MLI,2015q4,5,1859300
MLT,2015q1,4,1477334
MLT,2015q2,30,33358472
MLT,2015q3,43,122684020
MLT,2015q4,38,89374051
MMR,2015q1,72,211581052
MMR,2015q2,64,298666842
MMR,2015q3,56,177486258
MMR,2015q4,69,157311926
MNG,2015q2,2,4073
MNG,2015q3,1,892
MNG,2015q4,3,12109756
MNP,2015q3,5,17850
MNP,2015q4,6,34731
MOZ,2015q1,5,21779176
MOZ,2015q2,8,21969059
MOZ,2015q3,7,27855411
MOZ,2015q4,6,17533356
MUS,2015q1,4,3076379
MUS,2015q2,9,5025476
MUS,2015q3,11,27703971
MUS,2015q4,12,29420528
MWI,2015q1,2,40566460
MWI,2015q2,9,17579524
MWI,2015q3,14,76554146
MWI,2015q4,9,46046939
MYS,2015q1,9872,42255779888
MYS,2015q2,12959,33549591914
MYS,2015q3,21222,43306841496
MYS,2015q4,20827,42629682032
NAM,2015q1,3,155180
NAM,2015q3,12,14308086
NAM,2015q4,8,9114315
NCL,2015q3,2,994870
NCL,2015q4,3,2920753
NER,2015q4,1,80418
NFK,2015q1,5,23513392
